ID,title,currency,price,location,image,links
42,Monoambiente A Estrenar Con Amenities Apto Profesional,US$,63000,"Adolfo P. Carranza 3000, Villa Del Parque, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1447109489-monoambiente-a-estrenar-con-amenities-apto-profesional-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
43,Venta Departamento 3 Ambientes A Estrenar Villa Crespo,US$,159000,"Juan B Justo 3700, Villa Crespo, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1446985501-venta-departamento-3-ambientes-a-estrenar-villa-crespo-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
44,Apto Crédito - Dúplex - Recoleta - 2 Ambientes - Piso Alto,US$,99000,"Paraná 800, Recoleta, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1901140762-apto-credito-duplex-recoleta-2-ambientes-piso-alto-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
45,"Departamento.venta 2 Ambientes.caballito. Con Piscina, Sum Y Seguridad 24 Hs",US$,94900,"Otamendi 500, Caballito, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1447441181-departamentoventa-2-ambientescaballito-con-piscina-sum-y-seguridad-24-hs-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
46,"Departamento  En Venta 3 Dormitorios, Toillete Y Baño En Palermo Soho, Caba",US$,164000,"Paraguay ,palermo 4500, Palermo Soho, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1447736911-departamento-en-venta-3-dormitorios-toillete-y-bano-en-palermo-soho-caba-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
47,Ph 3 Amb. Con Cochera Y Baulera. Caballito,US$,119500,"Arengreen 800, Caballito, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://inmueble.mercadolibre.com.ar/MLA-1899443596-ph-3-amb-con-cochera-y-baulera-caballito-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
48,Venta Departamento 3 Ambientas C/ Balcón Y Cochera - A Estrenar - Amenities,US$,189000,"Adolfo P. Carranza 3000, Villa Del Parque, Capital Federal","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1447122433-venta-departamento-3-ambientas-c-balcon-y-cochera-a-estrenar-amenities-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=2154371a-d142-4b16-98e1-5b0f8dfc9e7c
49,Venta Casa Quinta 3 Ambientes Pileta Y Quincho,US$,136000,"Comarca Del Sol, Comarca Del Sol, Exaltación De La Cruz, Buenos Aires Interior",https://http2.mlstatic.com/D_NQ_NP_2X_670998-MLA78830360063_082024-E.webp,https://casa.mercadolibre.com.ar/MLA-1446936855-venta-casa-quinta-3-ambientes-pileta-y-quincho-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=80e60efc-2b2a-4eac-b2f5-ffbe3ccecbf3
50,Casa 4 Ambientes A Estrenar Pileta Quincho Pilar,US$,158000,"Pilar Del Este - San Alfonso, Pilar Del Este, Pilar, Bs.As. G.B.A. Norte",https://http2.mlstatic.com/D_NQ_NP_2X_807469-MLA78902929589_092024-E.webp,https://casa.mercadolibre.com.ar/MLA-1900161326-casa-4-ambientes-a-estrenar-pileta-quincho-pilar-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=80e60efc-2b2a-4eac-b2f5-ffbe3ccecbf3
51,Casa Venta Barrio Cerrado Laguna Azul Ezeiza,US$,99990,"Laguna Azul, Ezeiza, Bs.As. G.B.A. Sur",https://http2.mlstatic.com/D_NQ_NP_2X_807526-MLA78981366577_092024-E.webp,https://casa.mercadolibre.com.ar/MLA-1448099123-casa-venta-barrio-cerrado-laguna-azul-ezeiza-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=80e60efc-2b2a-4eac-b2f5-ffbe3ccecbf3
52,Departamento En  Venta 3 Ambientes Pinamar,US$,85000,"Edificio Torremolinos Libertador Y Simbad El Marino, Pinamar, Bs.As. Costa Atlántica","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://casa.mercadolibre.com.ar/MLA-1902991908-departamento-en-venta-3-ambientes-pinamar-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=80e60efc-2b2a-4eac-b2f5-ffbe3ccecbf3
53,Venta Quinta De 4 Lotes Independientes Con Escritura Inmediata- Villa Parque Sicardi,US$,95000,"11 E/653 Y 654, Villa Parque Sicardi, La Plata, Buenos Aires Interior","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://casa.mercadolibre.com.ar/MLA-1900696062-venta-quinta-de-4-lotes-independientes-con-escritura-inmediata-villa-parque-sicardi-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=80e60efc-2b2a-4eac-b2f5-ffbe3ccecbf3
54,Casa | Venta | 4 Dormitorios | Pileta | Quincho | Lomas Del Mirador,US$,175000,"Casa | Venta | 4 Dormitorios | Pileta | Quincho | Lomas DEL Mirador, Lomas Del Mirador, La Matanza, Bs.As. G.B.A. Oeste","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://casa.mercadolibre.com.ar/MLA-1902585178-casa-venta-4-dormitorios-pileta-quincho-lomas-del-mirador-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=80e60efc-2b2a-4eac-b2f5-ffbe3ccecbf3
