ID,title,currency,price,location,meters,image,links
23,Edificio - Palermo,US$,86000,"Jerónimo Salguero 1529, Palermo Soho, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_746480-MLA84290452317_052025-E.webp,https://departamento.mercadolibre.com.ar/MLA-1133434074-edificio-palermo-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
24,"Frente Al Mar, Posesión Ya, Dueño, Hidromasaje, Parrilla, Coch, S/expensas.",US$,45000,"Av. De Los Trabajadores 5100, B7600 Mar Del Plata, Provincia De Buenos Aires, Argentina, Centro, Mar Del Plata, Bs.As. Costa Atlántica",0,https://http2.mlstatic.com/D_NQ_NP_2X_748789-MLA83595305869_042025-E.webp,https://departamento.mercadolibre.com.ar/MLA-2074917030-frente-al-mar-posesion-ya-dueno-hidromasaje-parrilla-coch-sexpensas-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
25,Departamento En Venta En Palermo,US$,97000,"Julián Álvarez  Al 2100, Palermo, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_611081-MLA83998523011_042025-E.webp,https://departamento.mercadolibre.com.ar/MLA-2060918148-departamento-en-venta-en-palermo-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
26,Departamento 2 Ambientes Semipiso Caballito A Estrenar,US$,140000,"Riglos Al 500, Caballito, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_605218-MLA82505216472_022025-E.webp,https://departamento.mercadolibre.com.ar/MLA-1987320884-departamento-2-ambientes-semipiso-caballito-a-estrenar-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
27,Casa 4 Ambientes En El Palomar,US$,143000,"Scalabrini Ortiz Al 2700, Ciudad Jardín Lomas Del Palomar, Tres De Febrero, Bs.As. G.B.A. Oeste",0,https://http2.mlstatic.com/D_NQ_NP_2X_946401-MLA82585412525_022025-E.webp,https://casa.mercadolibre.com.ar/MLA-2018225758-casa-4-ambientes-en-el-palomar-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
28,Edificio En Villa Urquiza,US$,92500,"Echeverría 4340, Villa Urquiza, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_691926-MLA78587108146_082024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1446757957-edificio-en-villa-urquiza-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
29,Venta Ph 3 Ambientes Con Balcón,US$,55000,"Bouchard 1213 1213 1213, Gerli, Lanús, Bs.As. G.B.A. Sur",0,https://http2.mlstatic.com/D_NQ_NP_2X_716715-MLA81867816786_012025-E.webp,https://casa.mercadolibre.com.ar/MLA-1791717582-venta-ph-3-ambientes-con-balcon-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
30,Venta De Casa Con Patio Y Terraza En Pompeya,US$,120000,"Enrique Ochoa Al 941. Entre Cabred, Domingo Y Rio Cuarto, Capital Federal",0,https://http2.mlstatic.com/D_NQ_NP_2X_844748-MLA84122979974_052025-E.webp,https://casa.mercadolibre.com.ar/MLA-1470402783-venta-de-casa-con-patio-y-terraza-en-pompeya-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
31,Torre Cehër,US$,62915,"TORRE CEHËR, La Plata, Bs.As. G.B.A. Sur",0,https://http2.mlstatic.com/D_NQ_NP_2X_948824-MLA77566793691_072024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1436882051-torre-cehr-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
32,Casa Venta Barrio Santa Isabel 2 - Ingeniero Maschwitz,US$,160000,"Casa Venta Barrio Santa Isabel 2 - Ingeniero Maschwitz, Santa Isabel, Escobar, Bs.As. G.B.A. Norte",0,https://http2.mlstatic.com/D_NQ_NP_2X_936307-MLA81454932210_122024-E.webp,https://casa.mercadolibre.com.ar/MLA-1469577391-casa-venta-barrio-santa-isabel-2-ingeniero-maschwitz-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=df6bb380-b6c7-4189-8207-4dd564a4d6c6
